"18838","中国船舶重工集团公司北京长城无线电厂","5020","CSIC-Beijing Great Wall Radio Factory","No.30 Xueyuan Road(s),Haidian District,Beijing,China","北京市海淀区学院南路30号","www.bgwr.com.cn","5201","电子及声学测量仪器，电控及通信设备，汽车收音机，水声工程等。","100088","bgwr@china.com","010-62253344","010-62250376"
"18849","温州市江南船用电器厂","5020","Wenzhou Jiangnan Marine Electrical Apparatus Facto","No.3 Haining Road，Haibin Industrial Zone，Longwan，Wenzhou，，Zhejiang，China","温州市龙湾海滨工业区海宁路3号","","5203","船用主配电板、架控台、机舱监视台等。","325024","","0577-86873137","0577-86873137"
"18850","温州市鹿城船用机械配件厂","5020","Wenzhou Lucheng Marine Machinery Fittings Plant","No.21 Ganggen Banqiaotou，Liming Road（M），Wenzhou，，Zhejiang，China","温州市黎明中路仓根板桥头21号","","5203","尼龙螺旋桨。","325003","","0577-88311068",""
"18851","温州鹿城东海集装箱配件厂","5020","Wenzhou Lucheng Donghai Container Fittings Plant","No.407 Xiajin Road，Ouhai Jinzhu Industrial Area，Wenzhou，，Zhejiang，China","温州市瓯海金竹工业区霞金路407号","","5203","集装箱配件。","325015","","0577-86717118","0577-86713731"
"18852","上海仁发合成材料有限公司","5020","Shanghai Renfa composite material Co.,Ltd","No.208 Laoxianghuang Road,Nanxiang Town ","南翔镇老翔黄路208号","www.sh.renfa.com","5205","船（舰）用船艉轴承和舵轴承。","201802","webmaster@sh-renfa.cm","021-69121900","021-69122426"
"18853","温州市云海焊切流体服务有限公司（温州沙城前进电焊设备厂）","5020","Wenzhou Yunhai Welding & Cutting Liquid Service Co","Zhuangqiao，Longwan Industrial Area，Wenzhou，，Zhejiang，China","温州市龙湾区工业区庄桥","","5203","氩弧焊机、LGK8系列等离子切割机，CO2半自动焊机，GGI-30型半自动火焰切割机，焊接机辅具及配件、弯头、气动、液压管路接头、非标定制；兼营饮食机械、阀门、电器、五金等产品。","325025","yunhai@chinayunhai.com","0577-86828141","0577-86828141"
"18854","象山船舶机械电器厂","5020","Xiangshan Marine Machinery & Wiring Factory","Huangcheng Shatan Development Zone，，Shipu，Xiangshan County，Zhejiang，China","象山县石浦皇城沙滩开发区","","5203","系列船用硅整流发电机。","315731","cpjxc@mail.zj.cn","0574-65950272","0574-65953188"
"18855","象山石浦海达电子仪器厂","5020","Xiangshan Shipu Haida Electronic Instrument Factor","No.4-2 Ximenwai Road，Shipu，Xiangshan County，Zhejiang，China","象山县石浦西门外路4-2号","","5203","船用电子电笛双功能系列，船用汽笛系列，船用电铃系列，响铜雾钟系列，手摇泵系列、电子闪光器系列、机械传令钟系列，机架合一系列。","315731","","0574-65983629","0574-65983629"
"18856","象山县船舶舾装件厂","5020","Xiangshan Marine Outfits Plant","Gaotangxiang，Xiangshan County，Zhejiang，China","象山县高塘乡（江南）","","5203","钢质水密门、水密舱口盖、舷窗、矩形窗、天窗、油舱盖、人孔盖等。","315733","","0574-65040058",""
"18857","萧山更荣齿轮箱厂","5020","Xiaoshan Gengrong Gearbox Factory","No.363，Linjiang Village，Puyang Town，Xiaoshan District，Hangzhou，Zhejiang，China","杭州市萧山区濮阳镇临江村363号","www.gengrong。Com","5200","主要产品有液压离合器、液压离合分动箱、齿轮箱、粘液调速离合器、液压绞钢机、减速机、真空泵等。","311300","master@gengrong.com","0571-82403819","0571-82403767"
"18858","永嘉船用机械阀门制造公司","5020","Yongjia County Marine Co.,ltd","No.12Industrial Street（E)，Zhangbao，Oubei Town，Yongjia County，Zhejiang，China","永嘉县瓯北镇张堡工业街东1号","www.chuangong.com","5203","船用阀门：船用闸阀、截止阀、截止止回阀、止回阀、通海阀、旋塞阀、螺阀、消防阀、液位计及船用管系附件等。","325105","webmaster@chuangong.com","0577-67315853","0577-67379258"
"18859","永嘉县建江船舶电器有限公司","5020","Yongjia Jianjiang Marine Electric Co.,ltd","No.1 Xiangcha Industrial Park，Wuniu Town，Yongjia，Zhejiang，China","永嘉县乌牛镇项岙工业园1号","","5203","船用主配板开关等。","325600","","0577-62921105","0577-60901103"
"18860","玉环县船舶五金厂","5020","Yuhuan County Marine Hardware Plant","No.3Kantai Road，Kaimen Town，Yuhuan County，Zhejiang，China","玉环县坎门坎台路3号","","5200","船用五金、室内装潢五金。","317602","yhzstl@163.net","0576-87553513","0576-87557542"
"18861","余姚市江南电子仪器有限公司","5020","Yuyao Jiangnan Electronic Instrument Co.,ltd","No.168-1 Weixing Road，Yuyao，，Zhejiang，China","余姚市巍星路168-1号","www.zhuansubiac,com","5203","柴油机转速表、传感器、报警器、排温表、船舶艉轴智能测速装置。","315400","jndz@mail.nbptt.zj.cn","0574-62702856","0574-62703858"
"18862","乐清市阀门厂","","","","","","","","","","",""
"18863","乐清市阀门厂","","","","","","","","","","",""
"18864","乐清市阀门厂","","","","","","","","","","",""
"18865","乐清市阀门厂","","","","","","","","","","",""
"18866","乐清市阀门厂","","","","","","","","","","",""
"18867","乐清市阀门厂","","","","","","","","","","",""
"18868","乐清市阀门厂","","","","","","","","","","",""
"18869","乐清市阀门厂","","","","","","","","","","",""
"18870","乐清市阀门厂","5020","Yueqing City Vavle Factory","No.18 Liuhuang Road，Taishang Industrial Area，Huanghua Town，Yueqing，Zhejiang，China","乐清市黄华镇台商工业区柳黄路18号","www.chinayuevalve.com","5203","船用截止阀、闸阀、通海阀、阀箱、快关阀、呼吸阀、安全阀、减压阀、液位计、消防阀、水密门及管路附件。","325605","webmaster@yuevalve.cn","0577-62651623","0577-62656623"
"18871","上海融德机电工程设备有限公司","5020","Shanghai Rongde Engineering Equipment Co.,Ltd","Rm.1404 Xinyu Building,No.1 Lane 1695,Pudong Ave ","上海浦东大道1695弄1号星宇大楼1404室","www.rongded.com","5205","监测报警装置的开发、生产和维修服务。","200135","sale@rongded.com","021-68532791","021-58212204"
"18872","乐清市海盛船用电器有限公司","5020","Yueqing Haisheng Marine Electrical Apparatus Co.,L","No.606 Daxing Road（W），Liushi，Yueqing，Zhejiang，China","乐清市柳市大型西路606号","","5203","船用电器。","325604","","0577-62720755","0577-62720399"
"18873","乐清市海泰船用电气设备有限公司","5020","Yueqing Haitai Marine Electrical Equipment Co.,Ltd","No.226-228Xinghua Road（W），Huanghua Town，Yueqing，Zhejiang，China","乐清市黄华镇华兴东路226-228号","www.haitaiship.cn","5203","船用电器。","325605","haitai168@yahoo.com.cn","0577-62657022","0577-62657021"
"18874","乐清市侨光电器仪表厂","5020","Yueqing Qiaoguang Elentric Instrument Factory","Yanwen Road，Maren Bridge，Liushi，Wenzhou，Zhejiang，China","温州柳市马仁桥延文路","www.qiaoguangmeter.com","5203","舰船用新老型号系列电表、JPO、IPI、JRI接线端子板，TH-5SB、5DB开关，BZ-1、RL9 8熔断器等。","325604","qgcy1985@163.com","0577-62726568","0577-62722834"
"18875","乐清新兴电缆附件有限公司","5020","Yueqing Xinxing Cable Accessories Co.,Ltd","No.1116 Weiliu Road，Center Industrial Zone，Yueqing，Zhejiang，China","乐清市中心工业园区（纬六路）1116号","www.yq-xxdf.com","5203","生产船用电缆扎带。","325600","info@yq-xxdf.com","0577-62057688","0577-62057687"
"18876","乐清兆丰电器仪表有限公司","5020","Yueqing Zhaofeng Electric Instrument Co.,Ltd","No.8 Tengfei Road，Liushi，Yueqing，Zhejiang，China","乐清市柳市腾飞路8号","www.chinazhaofeng.com","5203","专业生产安装船用广角度电表及船用接线排和船用断路器开关等系列产品，产品适用于军船、远洋运输船舶、移动电站及石油、化工、核工业和铁路运输等。","325604","5384@mail.wzptt.zj.cn","0577-62774807","0577-62785384"
"18877","浙江萃通成套设备有限公司","5020","Zhejiang Cuitong Equipage Co.,Ltd","No.77 Changjiang Road，Liushi，Yueqing，Zhejiang，China","乐清市柳市长江路77号","www.coto.biz","5203","船用主配电板和应急配电板、驾驶室集控台、机舱集控台、磁力起动器、分配灯箱、充放电机及充放电板、信号灯及航行灯箱、锚机启动箱及岸电箱等。","325604","coto2000@wz.zj.cn","0577-62758004","0577-62759004"
"18878","浙江飞鲸漆业有限公司","5020","Zhejiang Feijing Paint Co.,Ltd","Putuo Ocean Industrial Area，Zhoushan，Zhejiang，China","舟山市普陀海洋工业园","www.pqfjlbg.wolaile.com","5203","各类船舶漆、重防腐漆、工业漆及建筑涂料。","316000","","0580-3095551","0580-3095713"
"18879","浙江恒信船舶设备有限公司","5020","Zhejiang Hengxin Marine Equipment Co.,Ltd","Beiyang Industrial Zone，Shangpan Town，Linhai，TaizhouZhejiang，China","台州市临海上盘镇北洋工业区","","5203","玻璃钢开敞式救生艇，全封闭普通型/耐火型救生件救助艇，工作艇、救助艇等。","318000","","0576-85071918","0576-85073158"
"18880","浙江华能电力设备制造有限公司","5020","Zhejiang Huaneng Electrical Equipment Co.,Ltd","No.3 Huancheng Road（W），Houjie Industry Area，Liushi Town，Wenzhou，Zhejiang，China","温州市柳市镇后街工业区环城东路3号","www.rongn.com","5203","船用主配电板、船用架控台、船用充放电板、船用岸电箱、船用配电箱、高低压电缆分接箱、船用启动箱、船用机舱监控提台、船用应急点半等多种成套设备。","325000","rongn@rongn.com","0577-27871738","0577-27871228"
"18881","浙江黄华电气有限公司","5020","Zhejiang Huanghua Electric  Co.,Ltd","Huanghua Shanqian Industrial Area，Yueqing，Zhejiang，China","乐清黄华山前工业区","www.huanghua.com","5203","生产高低压成套开关设备。","325605","","0577-62651111","0577-62727246"
"18882","上海瑞爱舰船设备有限公司","5020","Shanghai Rui-Ai Marine Equipment Co.,Ltd","No.1179 Shuyuan Street,Shuyuan Town,Nanhui","南汇书院镇书院大街1179号","","5205","船用组合式冷藏库、船舶舱室设备。","201305","","021-58061308","021-58061549"
"18883","浙江黄岩八一通用机械有限公司","5020","Zhejiang Huangyan Bayi General Machinery Co.,ltd","No.69 Huangjiao Road，Huangyan，Taizhou，Zhejiang，China","台州黄岩黄椒路69号","www.81gm.com","5203","船用水泵、电机。","318020","bayi@mail.tzptt.zj.cn","0576-84275710","0576-84275765"
"18884","浙江凯通电气有限公司","5020","Z合江 caiton ElectricalCo.,ltd","2nd Industrial Area，Qiligang，Zhejiang，China","乐清市七里港第二工业区","www.cation.com","5203","电缆接头系列，扎带系列，托架系列，船用接插件系列，发声器系列，倾斜仪。","325605","zjl@cation.com","0577-62652718","0577-62651087"
"18885","浙江乐清爱德船舶机械厂","5020","Zhejiang Aide Ship Machinery Works","Outfits Base，Hauxin Industry Area，Wengyang，Yueqing，Zhejiang，China","乐清市翁垟华新工业区舾装件基地","www.aideship.com","5203","船用防火门、铝质舷梯、水密门。","325606","aide@aideship.com","0577-62803456","0577-62802168"
"18886","浙江瑞迪不锈钢有限公司","5020","Zhejiang Ruidi Stainless Steel Co.,ltd","Baihe Industrinal Zone，Tiantai，Zhejiang，China","天台县白鹤工业区","","5203","船用配件。","317201","","0577-63775286","0577-63775287"
"18887","浙江嵊州大华水泵厂","5020","Zhejiang Shengzhou Dahua Pump Factory","Luozhuang’ao Industrial Area，Chengguan Town，Shengzhou，Zhejiang，China","嵊州市城关镇罗庄岙工业区","www.dahua-pump.com","5203","设计、制造、销售和生产水泵的企业。","312400","webmaster@dahua-pump.com","0575-83189980","0575-83100293"
"18888","浙江省慈溪市协和船舶配件有限公司","5020","Zhejiang Cixi Xiehe Marine Fitting Co.,ltd","Section C1，Saiyi Industrial Area，Cixi，Zhejiang，China","慈溪市赛亿工业园C1区","www.cxxh.net","5203","船舶配件产品。","315300","cxxh@cxxh.net","0574-86302729","0574-863022116"
"18889","浙江省嵊州市灵山销链附件厂","5020","Zhejiang Lingshan Chain & Pin Plant，Shengzhou","Qingshiqiao，Huangze Town，Shengzhou，Zhejiang，China","嵊州市黄泽镇青石桥","","5203","连接链环。","312455","","0575-83051537",""
"18890","浙江省德清县普森耐火材料有限公司","5020","Deqing County Pusen Fireproof Material Co.,ltd","No.25 Beiqiao Road，Qianyuan Town，Deqing County，Zhejiang，China","德清县乾元镇北郊路25hao","www.china-ps.com","5203","生产保温、隔热、防火材料。","313216","info@china-ps.com","0572-8422410","0572-8422410"
"18891","浙江省机械工业集团公司","5020","Zhejiang Mechinery Industry Group","No.9 Gaoguan Lane，Univercity Road，Hangzhou，Zhejiang，China","杭州市大学路高官弄9号","","5203","","310009","","0571-87046763","0571-87046194"
"18892","浙江省临海电焊条制造公司","5020","Zhejiang Linhai Welding Electrode Manufacturing Co","Dafen，Duqiao Town，Linhai，Zhejiang，China","临海市杜桥镇大汾","","5203","电焊条。","317016","","0576-85603772","0576-85503621"
"18893","上海三进科技发展有限公司","5020","Shanghai Sanjin Technology Development Co.,Ltd","No.851 Zhongshan Er Road(S)","中山南二路851号","www.shsanjin.com","5205","CJBW3100测报警系统，CJBW200主机遥控系统，CJBW300网络系统，CJBW400液位遥测系统，JJCJ集中控制台等。","200032","sj@sanjin.com","021-64398117","021-64871782"
"18894","浙江省瑞安市顺风航仪有限公司","5020","Zhejiang Ruian Shunfeng Navigation Instrument Co.,","Block C Anyang Industrial Zone，Ruian，Zhejiang，China","瑞安市安阳工业C区","www.china-shunfeng.cn","5203","船舶导航设备及配件。","325206","lqy101@126.com","0577-65520898","0577-25688659"
"18895","浙江省三门海通船舶配件有限公司","5020","Zhejiang Sanmen Seacom Ships ccessories Co.,ltd","Industry Zone，Sanmen County，Zhejiang，China","三门县西区工业园区","www.seacomcn.com","5203","为心传研制生产RT48T、RT52U、RT62U、盘车减速器等，以生产主机宽冷却伸缩管、立管为特长。","317100","zjsmcp@126.com","0576-83336675","0576-83323191"
"18896","浙江省三门远东船舶部件有限公司","5020","Zhejiang Sanmen Far-East Marine Fittings Co.,ltd","Sanmen Economic Development Area，，Zhejiang，China","三门经济开发区","","5203","柴油机配件、空压机配件、分油机配件、各种水泵配件。","317100","smy@mail.tzptt.zj.cn","0576-83373719","0576-83373716"
"18897","浙江省台州市天台山水泵厂","5020","Zhejiang Taizhou Tiantaishan Pump Factory","No.71Jiatu Street ，Jietou Town，Tiantai County，Taizhou，Zhejiang，China","天台县接头镇嘉图街71号","","5203","船用水泵。","317205","zjtts@zjtts.com","0576-83030350","0576-83032032"
"18898","浙江省温岭市东海阀门厂","5020","Wenling Donghai Vavles Plant，Zhejiang","No.67-9 Changhong Road，Changhong Industrial Area，Zeguo Town，Wenling，Zhejiang，China","温岭市泽国镇长虹工业区长虹路67-9号","","5203","专业生产船用阀门系列及管系附件。主要产品为通海阀、截止阀、闸阀、快关阀、止回阀等300多种规格的船用阀门。","317523","","0576-86448439","0576-86448439"
"18899","浙江省温州市龙湾通达航海电器厂","5020","Wenzhou Longwan Tongda Marine Electric Instrument ","No.137 Pudong Road，Bozhou，Wenzhou，Zhejiang，China","温州市薄州蒲东路137号","","5203","舰船用系列主配电板、架控台、机舱集控台、锚机控制箱、主令控制器、充放电板、充电器、岸电箱、报警箱、分电箱系列，闪光灯控制箱、航行信号控制箱、各种磁力启动器、星三角自耦启动器，船用三项变压器等。","325011","","0577-86526582","0577-86526583"
"18900","浙江省欣亚磁电发展有限公司","5020","Zhejiang Xinya Eletric Co.,ltd","Puxi Area，Zhoushan，Zhejiang，China","舟山市浦西开发区","www.xy-cd.com","5203","船用主配电板，应急配电板，监控台，架控台，报警系统，组合起动器，充放电板、分电箱等。","316602","sales@xy-cd.com","0580-3091119","0580-3091157"
"18901","浙江鹰鹏船舶制造有限公司","5020","Zhejiang Yingpeng Marine Equipment Co.,ltd","Dongpu Industry Area，Wenling，Zhejiang，China","温岭市东浦工业区","www.zjyingpeng.com","5203","船用舱口盖、灯具、电气、救生设备、电动机系列。","317500","info@zjyingpeng.com","0576-86877722","0576-86877358"
"18902","浙江鱼童发达造漆有限公司","5020","Zhejiang Yutong Fada Paint Manufactureing Co.,ltd","No.78 Jiaoshan Road（N），Songmen Town，Wenling，Zhejiang，China","温岭市松门镇樵山北路78号","www.yutongpaint.com","5203","“鱼童”牌防锈漆、船舶油漆、防污漆等。","317511","fadayougi@vip.163.com","0576-86628028","0576-86628026"
"18903","浙江中船重工设备有限公司","5020","Zhejiang Marine Equipment Co.,ltd","Xingang Industrial Park，Zhoushan，Zhejiang，China","舟山市新港工业园区","www.ccsc-group.com","5203","从事各种船用设备的研发、制造、安装和销售。","316000","ccsc126@126.com","0580-8061688","0580-8061699"
"18904","上海三林船舶配件电镀厂","5020","Shanghai Sanlin Ship Fitting Plating Factory","No.5600,Shangnan Road","上南路5600号","","5205","船用配件电镀、铸锻件加工。","200124","","021-58417227","021-58417227"
"18905","浙江中海重工船舶设备有限公司","5020","Zhejiang Zhonghai Zhonggong Ship Equipment Co.,ltd","Huanghua Town，Yueqing，Zhejiang，China","乐清市黄华镇","","5203","船用舱口盖等。","325605","zhonghai666@163.com","0577-62657899","0577-62657895"
"18906","浙江舟山和成机械有限公司","5020","Zhejiang Zhoushan Hecheng Machinery Co.,ltd","Ocean Biological Industry Park，Shenjiamen，Zhoushan，Zhejiang，China","舟山市沈家门海洋生物工业园区","","5203","船用设备。","316000","hechengjixie@163.com","0580-8061688","0580-8061699"
"18907","浙江舟山永锦船舶配件制造有限公司","5020","Zhejiang Zhoushan Yongjin Ship Accessories Manufat","Dinghai District，Zhoushan，Zhejiang，China","舟山市定海区","","5203","船舶配额间、船舶分段制造和销售。","316000","","0580-2935068",""
"18908","浙江四兄绳业有限公司","5020","Zhejiang Four Brothers Rope Co.,ltd","Duqiao Town，Linhai， Taizhou，Zhejiang，China","台州市临海是杜桥镇","www.powerrope.com","5203","船用绳缆。","317016","lee@powerrope.com","0576-85723958","0576-85723998"
"18909","浙江泰航电气有限公司","5020","Zhejiang Taihang Electric Co.,ltd","Xinguang Industrial Zone，Liushi，Yueqing，Zhejiang，China","乐清市柳市新光工业区","www.tahat.com","5203","主配电板、架控台等。","325604","tahat126@126.com","0577-61718228","0577-61718221"
"18910","浙江台州市东海船舶工贸有限公司","5020","Donghai Ship Industry & Business Co.,Ltd","No.42 Wenming Road，Jiaojiang District,Taizhou,Zhejiang，China","台州市椒江文明路42号","","5203","气缸爆发压力表、曲轴量表、阀座研磨机、气阀研磨机、船用压力表、船用防震温度表、多位式压力控制器。","318000","dlshpequ@mail.bzptt.zj.cn","0576-88883546","0576-88807466"
"18911","浙江象山焊接衬垫厂","5020","Zhejiang Xiangshan Welding Works Factory","Zhushuixi，Danxi Street,Xiangshan County，Zhejiang，China","象山县丹西街珠水溪","www.chinabacking.com","5203","陶瓷焊接衬垫。","315711","back@public.nbptt.zj.cn","0574-65781234","0574-65781006"
"18912","浙江象山石浦海达电子仪器厂","5020","Zhejiang Xiangshan Shipu Haida Electron Apparatus ","No.109 Renmin Road Shipu Town，Xiangshan，Zhejiang，China","象山县是铺镇人民路109号","","5203","主要生产顺航牌CDD-24型船用电笛、YLK/YLX/YZ/YLM型电铃、JSD型闪光器、YQ型汽笛、C型手摇泵、JY/JYX型驾机合一、EX型机械传令钟/雾钟等系列产品。","315731","","0574-65937629","0574-65936609"
"18913","中德合资天力管件有限公司","5020","Tianli Pipe Fittings Co.,Ltd","No.170 Daqiao Road，Liushi Town，Yueqing，Zhejiang，China","乐清市柳市镇大桥路170号","www.tianlipipe.com","5203","铜管接头、管路附件。","325604","tianli@mail.wzptt.zj.cn","0577-62783118","0577-62783117"
"18914","中外合资嘉兴东方焊业有限公司","5020","Jiaxing Dongfang Welding Co.,Ltd","No.294 Chengbei Road，Jiaxing，Zhejiang，China","嘉兴城北路294号","","5203","碳钢、不锈钢、硬面堆焊等各种规格的药芯焊丝。","314001","","0573-82200904","0573-82200836"
"18915","上海沙若康电子有限公司","5020","Shanghai Saracom Electronics Co.,Ltd","Rm.1201,No.289 Deping Road","德平路289号1201室","","5205","主要从事船舶通导设备管理系统的开发销售。","200136","saracom@china.com","021-50341430","021-58508345"
"18916","舟山良工机械制造有限公司","5020","Zhoushn Lianggong Machinery Manufactureing Co.,Ltd","No.741 Donghai Road（M），Shenjiamen，Zhoushan，Zhejiang，China","舟山市沈家门东海中路741号","www.lgfff.com","5203","主要生产气缸头、气缸套、活塞裙及活塞头、气阀、阀座、阀壳、连杆、活塞销等。","316100","lgjxa@lgfff.com","0580-3092718","0580-3092978"
"18917","舟山市定海弘鑫船舶机械厂","5020","Zhoushan Dinghai Hongxin Marine Machinery General ","New Industrial Area，West of Yancang，Dinghai District，Zhoushan，Zhejiang，China","舟山市定海区盐仓城西工业新区","","5203","出阿布机械产品。","316041","zs@chship.com","0580-8803765",""
"18918","舟山市定海船舶机械总厂","5020","Zhoushan Dinghai Marine Machinery General Factory","The West Wharf，Ganlan Town，Dinghai District，Zhoushan，Zhejiang，China","舟山市定海区干览镇西码头","","5203","出阿布机械产品。","316014","","0580-8090027",""
"18919","舟山市东海电焊机制造有限公司","5020","Zhoushan Donghai Electro-welding Machine Co.,Ltd","No.20 Xishan Road，Dinghai District，Zhoushan，Zhejiang，China","舟山市定海区西山路20号","","5203","船用电焊机。","316000","zsdhhj@mail.zj.cn","0580-2360472","0580-2360035"
"18920","舟山市海发船舶配件有限公司","5020","Zhoushan Haifa Marine Accessories Co.,ltd","No.1-7 East Road（2nd）， Marine Partner Market，Zhoushan，Zhejiang，China","舟山市船用品市场东二路1-7号","","5203","专业经营进口柴油机配件。","316021","","0580-2085117","0580-2085137"
"18921","舟山市海山密封件材料有限公司","5020","Zhoushan Haishan Pressurize Material Co.,ltd","Dongsha Town，Daishan，Zhejiang，China","岱山县东沙镇","","5203","专营密封材料。","316216","","0580-7091479","0580-7091076"
"18922","舟山市江波救生消防设备有限公司","5020","Zhoushan Jiangbo Saving device Co.,ltd","No.28 East Road（5th），Lincheng Marine Partner Market，Zhoushan，Zhejiang，China","舟山市临城船用品市场东五路28号","www.jsxf.net","5203","消防系列产品。","316021","jsxf@jsxf.net","0580-2085034","0580-2085318"
"18923","舟山市明星铸件厂","5020","Zhoushan Mingxing Casting Works","Xichang Village，Taimen Town，Zhoushan，Zhejiang，China","舟山市台门镇西厂村","","5203","船用铸件。","316135","","0580-6070517","0580-6072059"
"18924","舟山市普陀造漆厂","5020","Zhoushan Putuo Paint Manufacturing Factory","Goushan Industrial Area，Putuo，Zhoushan，Zhejiang，China","舟山市普陀勾山工业园区","","5203","生产各类船舶漆、重防腐漆、工业漆及建筑涂料。","316021","","0580-3095551","0580-3092713"
"18925","舟山市普陀镇江联营锚链厂","5042","Zhoushan Putuo Zhenjiang Joint Anchor Chains Plant","Pingyangpu，Shenjiamen，Putuo District，Zhejiang，China","舟山市普陀区沈家门平阳浦","","5203","船用锚链、链条、五金件。","316100","","0580-3695396","0580-3695738"
"18926","上海山川制泵有限公司","5020","Shanghai Shanchuan Pump Co.,Ltd","No.137 Tianmu Road(M)","天目中路137号","","5205","生产大型系列船用离心、漩涡自吸泵。","200071","","021-63643019","021-63061882"
"18927","舟山市普陀中南锚链制造有限公司","5020","Zhoushan Putuo Anchor Chain MNFG Co.,ltd","Pingyangpu，Shenjiamen，Putuo District，Zhejiang，China","舟山市普陀区沈家门平阳浦","","5203","船用锚链、起重链、矿用链、舱盖链、装饰链及锚链配套附件。","316101","","0580-3695738","0580-3696398"
"18928","舟山市中亿船舶配件制造有限公司","5020","Zhoushan Wonder Marine Accessories Makes Co.,ltd","Marine life garden area，Putuo District，Zhoushan，Zhejiang，China","舟山市普陀区沈家门海洋生物园","www.93zy.com","5203","生产各种JB、GB、CB、CBM、YF标准系列、不锈钢、合金钢、石炭钢对焊、平焊法兰管路接头，高压直通、三通法兰和其他船舶配件。","316100","93-zy@163.com","0580-3696368","0580-3696358"
"18929","舟山市舟甬船舶设备物质有限公司","5020","Zhoushan Zhouyong Marine Equipment Material Co.","No.1East Road（8th）， Ship Partner Market，Zhoushan，Zhejiang，China","舟山市船用品市场东八路一号","","5203","船用配件、机电设备、化工原料、五金交电、金属材料、建筑材料、船用设备维修。","316100","","0580-2085030","0580-2085009"
"18930","中国船舶工业集团公司江西朝阳机械厂","5020","CSSC-Chanyang Machinery Plant，Jiangxi","Longquan Road，Longcheng Town，Pengze County，Jiujiang，Jiangxi，China","九江市彭泽县龙城镇龙泉路","","5212","船用金属复合岩棉板耐火舱室系统、陆用建筑工程内装分隔系统（船、陆用防火门），金属复合岩棉板，卫生单元，船用家具等。","332727","cymp@pub.jj.jx.coinfo.net","0792-5663804","0792-5663807"
"18931","中国船舶工业集团公司江西船用阀门厂","5020","CSSC-Jiangxi  Marine Valve Plant","Hangzhou Road ，Jiujiang Development Zone，Jiangxi，China","九江市开发区杭州路","www.jmvp.com.cn","5212","各种船用阀门，船用灭火装置，液压遥控阀系统。","332500","","0792-6332958","0792-6338019"
